scrapedAt,sourceUpdated,audience,category,budget,available
2026-07-17T18:52:46.296Z,2026-07-17T20:47:24,idiotes,podilata,2610000,152053.33
2026-07-17T18:52:46.296Z,2026-07-17T20:47:24,epixiriseis,ochimata,27640000,4378284.9
2026-07-17T18:52:46.296Z,2026-07-17T20:47:24,epixiriseis,podilata,360000,87773.01
2026-07-18T07:26:58.563Z,2026-07-18T08:47:24,idiotes,ochimata,45390000,5793010.77
2026-07-18T07:26:58.563Z,2026-07-18T08:47:24,idiotes,podilata,2610000,149734.77
2026-07-18T07:26:58.563Z,2026-07-18T08:47:24,epixiriseis,ochimata,27640000,4378284.9
2026-07-18T07:26:58.563Z,2026-07-18T08:47:24,epixiriseis,podilata,360000,87773.01
2026-07-18T18:45:53.568Z,2026-07-18T20:47:24,idiotes,ochimata,45390000,5777034.03
2026-07-18T18:45:53.568Z,2026-07-18T20:47:24,idiotes,podilata,2610000,143726.31
2026-07-18T18:45:53.568Z,2026-07-18T20:47:24,epixiriseis,ochimata,27640000,4377963.93
2026-07-18T18:45:53.568Z,2026-07-18T20:47:24,epixiriseis,podilata,360000,87773.01
2026-07-19T07:58:17.167Z,2026-07-19T10:47:24,idiotes,ochimata,45390000,5772455.6
2026-07-19T07:58:17.167Z,2026-07-19T10:47:24,idiotes,podilata,2610000,142802.92
2026-07-19T07:58:17.167Z,2026-07-19T10:47:24,epixiriseis,ochimata,27640000,4374963.93
2026-07-19T07:58:17.167Z,2026-07-19T10:47:24,epixiriseis,podilata,360000,87773.01
2026-07-19T18:50:41.948Z,2026-07-19T20:47:24,idiotes,ochimata,45390000,5767885.05
2026-07-19T18:50:41.948Z,2026-07-19T20:47:24,idiotes,podilata,2610000,140719.29
2026-07-19T18:50:41.948Z,2026-07-19T20:47:24,epixiriseis,ochimata,27640000,4374963.93
2026-07-19T18:50:41.948Z,2026-07-19T20:47:24,epixiriseis,podilata,360000,87773.01
2026-07-20T08:39:55.957Z,2026-07-20T10:47:24,idiotes,ochimata,45390000,5759821.18
2026-07-20T08:39:55.957Z,2026-07-20T10:47:24,idiotes,podilata,2610000,137409.29
2026-07-20T08:39:55.957Z,2026-07-20T10:47:24,epixiriseis,ochimata,27640000,4374963.93
2026-07-20T08:39:55.957Z,2026-07-20T10:47:24,epixiriseis,podilata,360000,87773.01
2026-07-20T19:24:33.011Z,2026-07-20T20:47:24,idiotes,ochimata,45390000,5724561.85
2026-07-20T19:24:33.011Z,2026-07-20T20:47:24,idiotes,podilata,2610000,132729.48
2026-07-20T19:24:33.011Z,2026-07-20T20:47:24,epixiriseis,ochimata,27640000,4357031.93
2026-07-20T19:24:33.011Z,2026-07-20T20:47:24,epixiriseis,podilata,360000,82993.23
2026-07-21T08:07:41.161Z,2026-07-21T10:47:24,idiotes,ochimata,45390000,5691213.38
2026-07-21T08:07:41.161Z,2026-07-21T10:47:24,idiotes,podilata,2610000,127318.71
2026-07-21T08:07:41.161Z,2026-07-21T10:47:24,epixiriseis,ochimata,27640000,4357031.93
2026-07-21T08:07:41.161Z,2026-07-21T10:47:24,epixiriseis,podilata,360000,82993.23
2026-07-21T19:03:15.229Z,2026-07-21T20:47:24,idiotes,ochimata,45390000,5667477.94
2026-07-21T19:03:15.229Z,2026-07-21T20:47:24,idiotes,podilata,2610000,115940.73
2026-07-21T19:03:15.229Z,2026-07-21T20:47:24,epixiriseis,ochimata,27640000,4335230.22
2026-07-21T19:03:15.229Z,2026-07-21T20:47:24,epixiriseis,podilata,360000,82993.23
2026-07-22T08:08:13.201Z,2026-07-22T10:47:24,idiotes,ochimata,45390000,5650578.31
2026-07-22T08:08:13.201Z,2026-07-22T10:47:24,idiotes,podilata,2610000,114422.77
2026-07-22T08:08:13.201Z,2026-07-22T10:47:24,epixiriseis,ochimata,27640000,4332230.22
2026-07-22T08:08:13.201Z,2026-07-22T10:47:24,epixiriseis,podilata,360000,82993.23
2026-07-22T18:56:56.366Z,2026-07-22T20:47:24,idiotes,ochimata,45390000,5642322.55
2026-07-22T18:56:56.366Z,2026-07-22T20:47:24,idiotes,podilata,2610000,104492.73
2026-07-22T18:56:56.366Z,2026-07-22T20:47:24,epixiriseis,ochimata,27640000,4318230.22
2026-07-22T18:56:56.366Z,2026-07-22T20:47:24,epixiriseis,podilata,360000,81493.23
2026-07-23T08:11:05.857Z,2026-07-23T10:47:24,idiotes,ochimata,45390000,5637221.56
2026-07-23T08:11:05.857Z,2026-07-23T10:47:24,idiotes,podilata,2610000,101384
2026-07-23T08:11:05.857Z,2026-07-23T10:47:24,epixiriseis,ochimata,27640000,4315380.22
2026-07-23T08:11:05.857Z,2026-07-23T10:47:24,epixiriseis,podilata,360000,81493.23
2026-07-23T18:58:27.355Z,2026-07-23T20:47:24,idiotes,ochimata,45390000,5612249.53
2026-07-23T18:58:27.355Z,2026-07-23T20:47:24,idiotes,podilata,2610000,94289.76
2026-07-23T18:58:27.355Z,2026-07-23T20:47:24,epixiriseis,ochimata,27640000,4304880.22
2026-07-23T18:58:27.355Z,2026-07-23T20:47:24,epixiriseis,podilata,360000,81493.23
2026-07-24T08:06:56.956Z,2026-07-24T10:47:24,idiotes,ochimata,45390000,5609265.8
2026-07-24T08:06:56.956Z,2026-07-24T10:47:24,idiotes,podilata,2610000,93485.45
2026-07-24T08:06:56.956Z,2026-07-24T10:47:24,epixiriseis,ochimata,27640000,4298880.22
2026-07-24T08:06:56.956Z,2026-07-24T10:47:24,epixiriseis,podilata,360000,81493.23
2026-07-24T19:11:52.285Z,2026-07-24T20:47:24,idiotes,ochimata,45390000,5583473.49
2026-07-24T19:11:52.285Z,2026-07-24T20:47:24,idiotes,podilata,2610000,82525.25
2026-07-24T19:11:52.285Z,2026-07-24T20:47:24,epixiriseis,ochimata,27640000,4272652.48
2026-07-24T19:11:52.285Z,2026-07-24T20:47:24,epixiriseis,podilata,360000,81493.23
2026-07-25T07:49:56.667Z,2026-07-25T10:47:24,idiotes,ochimata,45390000,5575533.17
2026-07-25T07:49:56.667Z,2026-07-25T10:47:24,idiotes,podilata,2610000,79195.65
2026-07-25T07:49:56.667Z,2026-07-25T10:47:24,epixiriseis,ochimata,27640000,4272652.48
2026-07-25T07:49:56.667Z,2026-07-25T10:47:24,epixiriseis,podilata,360000,81493.23
2026-07-25T18:52:20.095Z,2026-07-25T20:47:24,idiotes,ochimata,45390000,5573008.16
2026-07-25T18:52:20.095Z,2026-07-25T20:47:24,idiotes,podilata,2610000,72941.42
2026-07-25T18:52:20.095Z,2026-07-25T20:47:24,epixiriseis,ochimata,27640000,4268652.48
2026-07-25T18:52:20.095Z,2026-07-25T20:47:24,epixiriseis,podilata,360000,81493.23
2026-07-26T08:07:49.510Z,2026-07-26T10:47:24,idiotes,ochimata,45390000,5573037.92
2026-07-26T08:07:49.510Z,2026-07-26T10:47:24,idiotes,podilata,2610000,71464.47
2026-07-26T08:07:49.510Z,2026-07-26T10:47:24,epixiriseis,ochimata,27640000,4268652.48
2026-07-26T08:07:49.510Z,2026-07-26T10:47:24,epixiriseis,podilata,360000,81493.23
2026-07-26T18:56:11.801Z,2026-07-26T20:47:24,idiotes,ochimata,45390000,5565646.75
2026-07-26T18:56:11.801Z,2026-07-26T20:47:24,idiotes,podilata,2610000,71109.55
2026-07-26T18:56:11.801Z,2026-07-26T20:47:24,epixiriseis,ochimata,27640000,4269052.48
2026-07-26T18:56:11.801Z,2026-07-26T20:47:24,epixiriseis,podilata,360000,81493.23
2026-07-27T09:30:03.268Z,2026-07-27T10:47:24,idiotes,ochimata,45390000,5557246.75
2026-07-27T09:30:03.268Z,2026-07-27T10:47:24,idiotes,podilata,2610000,69061.13
2026-07-27T09:30:03.268Z,2026-07-27T10:47:24,epixiriseis,ochimata,27640000,4269852.48
2026-07-27T09:30:03.268Z,2026-07-27T10:47:24,epixiriseis,podilata,360000,81493.23
2026-07-27T19:11:58.525Z,2026-07-27T20:47:24,idiotes,ochimata,45390000,5529544.93
2026-07-27T19:11:58.525Z,2026-07-27T20:47:24,idiotes,podilata,2610000,55849.96
2026-07-27T19:11:58.525Z,2026-07-27T20:47:24,epixiriseis,ochimata,27640000,4248529.9
2026-07-27T19:11:58.525Z,2026-07-27T20:47:24,epixiriseis,podilata,360000,81493.23
2026-07-28T08:14:09.888Z,2026-07-28T10:47:24,idiotes,ochimata,45390000,5517956.11
2026-07-28T08:14:09.888Z,2026-07-28T10:47:24,idiotes,podilata,2610000,51174.17
2026-07-28T08:14:09.888Z,2026-07-28T10:47:24,epixiriseis,ochimata,27640000,4245889.58
2026-07-28T08:14:09.888Z,2026-07-28T10:47:24,epixiriseis,podilata,360000,81493.23
2026-07-28T19:07:05.682Z,2026-07-28T20:47:24,idiotes,ochimata,45390000,5479206.5
2026-07-28T19:07:05.682Z,2026-07-28T20:47:24,idiotes,podilata,2610000,43828.45
2026-07-28T19:07:05.682Z,2026-07-28T20:47:24,epixiriseis,ochimata,27640000,4226520.08
2026-07-28T19:07:05.682Z,2026-07-28T20:47:24,epixiriseis,podilata,360000,80493.23
2026-07-29T08:19:52.518Z,2026-07-29T10:47:24,idiotes,ochimata,45390000,5455096.2
2026-07-29T08:19:52.518Z,2026-07-29T10:47:24,idiotes,podilata,2610000,41468.18
2026-07-29T08:19:52.518Z,2026-07-29T10:47:24,epixiriseis,ochimata,27640000,4221958.79
2026-07-29T08:19:52.518Z,2026-07-29T10:47:24,epixiriseis,podilata,360000,80493.23
2026-07-29T18:57:03.312Z,2026-07-29T20:47:24,idiotes,ochimata,45390000,5417516.51
2026-07-29T18:57:03.312Z,2026-07-29T20:47:24,idiotes,podilata,2610000,29974.58
2026-07-29T18:57:03.312Z,2026-07-29T20:47:24,epixiriseis,ochimata,27640000,4203739.25
2026-07-29T18:57:03.312Z,2026-07-29T20:47:24,epixiriseis,podilata,360000,79993.23
2026-07-30T08:06:53.723Z,2026-07-30T10:47:24,idiotes,ochimata,45390000,5408739.09
2026-07-30T08:06:53.723Z,2026-07-30T10:47:24,idiotes,podilata,2610000,29403.61
2026-07-30T08:06:53.723Z,2026-07-30T10:47:24,epixiriseis,ochimata,27640000,4203739.25
2026-07-30T08:06:53.723Z,2026-07-30T10:47:24,epixiriseis,podilata,360000,79993.23
2026-07-30T19:09:20.824Z,2026-07-30T20:47:24,idiotes,ochimata,45390000,5368075.71
2026-07-30T19:09:20.824Z,2026-07-30T20:47:24,idiotes,podilata,2610000,18052.66
2026-07-30T19:09:20.824Z,2026-07-30T20:47:24,epixiriseis,ochimata,27640000,4195965.85
2026-07-30T19:09:20.824Z,2026-07-30T20:47:24,epixiriseis,podilata,360000,78993.24
2026-07-31T08:33:29.600Z,2026-07-31T10:47:24,idiotes,ochimata,45390000,5354149.1
2026-07-31T08:33:29.600Z,2026-07-31T10:47:24,idiotes,podilata,2610000,15916.37
2026-07-31T08:33:29.600Z,2026-07-31T10:47:24,epixiriseis,ochimata,27640000,4189965.85
2026-07-31T08:33:29.600Z,2026-07-31T10:47:24,epixiriseis,podilata,360000,76650.21
2026-07-31T19:07:35.699Z,2026-07-31T20:47:24,idiotes,ochimata,45390000,5299124.19
2026-07-31T19:07:35.699Z,2026-07-31T20:47:24,idiotes,podilata,2610000,9321.44
2026-07-31T19:07:35.699Z,2026-07-31T20:47:24,epixiriseis,ochimata,27640000,4165788.43
2026-07-31T19:07:35.699Z,2026-07-31T20:47:24,epixiriseis,podilata,360000,76650.21
2026-08-01T08:02:58.182Z,2026-08-01T10:47:24,idiotes,ochimata,45390000,5279596.79
2026-08-01T08:02:58.182Z,2026-08-01T10:47:24,idiotes,podilata,2610000,8239.98
2026-08-01T08:02:58.182Z,2026-08-01T10:47:24,epixiriseis,ochimata,27640000,4162788.43
2026-08-01T08:02:58.182Z,2026-08-01T10:47:24,epixiriseis,podilata,360000,76302.31
2026-08-01T18:53:51.026Z,2026-08-01T20:47:24,idiotes,ochimata,45390000,5256428.6
2026-08-01T18:53:51.026Z,2026-08-01T20:47:24,idiotes,podilata,2610000,3472.3
2026-08-01T18:53:51.026Z,2026-08-01T20:47:24,epixiriseis,ochimata,27640000,4159388.43
2026-08-01T18:53:51.026Z,2026-08-01T20:47:24,epixiriseis,podilata,360000,76302.31
2026-08-02T08:04:39.013Z,2026-08-02T10:47:24,idiotes,ochimata,45390000,5253428.6
2026-08-02T08:04:39.013Z,2026-08-02T10:47:24,idiotes,podilata,2610000,3231.82
2026-08-02T08:04:39.013Z,2026-08-02T10:47:24,epixiriseis,ochimata,27640000,4158825.53
2026-08-02T08:04:39.013Z,2026-08-02T10:47:24,epixiriseis,podilata,360000,76302.31
2026-08-02T18:54:20.758Z,2026-08-02T20:47:24,idiotes,ochimata,45390000,5233657.94
2026-08-02T18:54:20.758Z,2026-08-02T20:47:24,idiotes,podilata,2610000,1181.62
2026-08-02T18:54:20.758Z,2026-08-02T20:47:24,epixiriseis,ochimata,27640000,4158825.53
2026-08-02T18:54:20.758Z,2026-08-02T20:47:24,epixiriseis,podilata,360000,76302.31
2026-08-03T09:21:09.024Z,2026-08-03T10:47:24,idiotes,ochimata,45390000,5214757.94
2026-08-03T09:21:09.024Z,2026-08-03T10:47:24,idiotes,podilata,2610000,198.56
2026-08-03T09:21:09.024Z,2026-08-03T10:47:24,epixiriseis,ochimata,27640000,4150825.53
2026-08-03T09:21:09.024Z,2026-08-03T10:47:24,epixiriseis,podilata,360000,76302.31
2026-08-03T19:18:32.530Z,2026-08-03T20:47:24,idiotes,ochimata,45390000,5213740.84
2026-08-03T19:18:32.530Z,2026-08-03T20:47:24,idiotes,podilata,2610000,0
2026-08-03T19:18:32.530Z,2026-08-03T20:47:24,epixiriseis,ochimata,27640000,4124152.95
2026-08-03T19:18:32.530Z,2026-08-03T20:47:24,epixiriseis,podilata,360000,76713.6
2026-08-04T08:19:44.574Z,2026-08-04T10:47:24,idiotes,ochimata,45390000,5210767.39
2026-08-04T08:19:44.574Z,2026-08-04T10:47:24,idiotes,podilata,2610000,0
2026-08-04T08:19:44.574Z,2026-08-04T10:47:24,epixiriseis,ochimata,27640000,4105085.21
2026-08-04T08:19:44.574Z,2026-08-04T10:47:24,epixiriseis,podilata,360000,75713.6
2026-08-04T19:18:09.402Z,2026-08-04T20:47:24,idiotes,ochimata,45390000,5175719.74
2026-08-04T19:18:09.402Z,2026-08-04T20:47:24,idiotes,podilata,2610000,0
2026-08-04T19:18:09.402Z,2026-08-04T20:47:24,epixiriseis,ochimata,27640000,4057414.25
2026-08-04T19:18:09.402Z,2026-08-04T20:47:24,epixiriseis,podilata,360000,75713.6
2026-08-05T08:16:45.366Z,2026-08-05T10:47:24,idiotes,ochimata,45390000,5161451.32
2026-08-05T08:16:45.366Z,2026-08-05T10:47:24,idiotes,podilata,2610000,0
2026-08-05T08:16:45.366Z,2026-08-05T10:47:24,epixiriseis,ochimata,27640000,4046514.25
2026-08-05T08:16:45.366Z,2026-08-05T10:47:24,epixiriseis,podilata,360000,75713.6
2026-08-05T19:14:00.352Z,2026-08-05T20:47:24,idiotes,ochimata,45390000,5132433.75
2026-08-05T19:14:00.352Z,2026-08-05T20:47:24,idiotes,podilata,2610000,0
2026-08-05T19:14:00.352Z,2026-08-05T20:47:24,epixiriseis,ochimata,27640000,4030070.7
2026-08-05T19:14:00.352Z,2026-08-05T20:47:24,epixiriseis,podilata,360000,75713.6
2026-08-06T08:14:46.752Z,2026-08-06T10:47:24,idiotes,ochimata,45390000,5118413.44
2026-08-06T08:14:46.752Z,2026-08-06T10:47:24,idiotes,podilata,2610000,0
2026-08-06T08:14:46.752Z,2026-08-06T10:47:24,epixiriseis,ochimata,27640000,4036870.7
2026-08-06T08:14:46.752Z,2026-08-06T10:47:24,epixiriseis,podilata,360000,75713.6
2026-08-06T23:49:22.543Z,2026-08-07T02:47:24,idiotes,ochimata,45390000,5078759.89
2026-08-06T23:49:22.543Z,2026-08-07T02:47:24,idiotes,podilata,2610000,0
2026-08-06T23:49:22.543Z,2026-08-07T02:47:24,epixiriseis,ochimata,27640000,4013074.71
2026-08-06T23:49:22.543Z,2026-08-07T02:47:24,epixiriseis,podilata,360000,75713.6
2026-08-07T06:59:50.743Z,2026-08-07T08:47:24,idiotes,ochimata,45390000,5075759.89
2026-08-07T06:59:50.743Z,2026-08-07T08:47:24,idiotes,podilata,2610000,0
2026-08-07T06:59:50.743Z,2026-08-07T08:47:24,epixiriseis,ochimata,27640000,4013074.71
2026-08-07T06:59:50.743Z,2026-08-07T08:47:24,epixiriseis,podilata,360000,75713.6
2026-08-07T18:39:07.258Z,2026-08-07T20:47:24,idiotes,ochimata,45390000,5025588.93
2026-08-07T18:39:07.258Z,2026-08-07T20:47:24,idiotes,podilata,2610000,0
2026-08-07T18:39:07.258Z,2026-08-07T20:47:24,epixiriseis,ochimata,27640000,3963772.21
2026-08-07T18:39:07.258Z,2026-08-07T20:47:24,epixiriseis,podilata,360000,75713.6
2026-08-08T06:33:40.708Z,2026-08-08T08:47:24,idiotes,ochimata,45390000,5017399.41
2026-08-08T06:33:40.708Z,2026-08-08T08:47:24,idiotes,podilata,2610000,0
2026-08-08T06:33:40.708Z,2026-08-08T08:47:24,epixiriseis,ochimata,27640000,3960772.21
2026-08-08T06:33:40.708Z,2026-08-08T08:47:24,epixiriseis,podilata,360000,75713.6
2026-08-08T18:21:52.044Z,2026-08-08T20:47:24,idiotes,ochimata,45390000,5006248.64
2026-08-08T18:21:52.044Z,2026-08-08T20:47:24,idiotes,podilata,2610000,0
2026-08-08T18:21:52.044Z,2026-08-08T20:47:24,epixiriseis,ochimata,27640000,3942572.21
2026-08-08T18:21:52.044Z,2026-08-08T20:47:24,epixiriseis,podilata,360000,75713.6
2026-08-09T06:37:34.799Z,2026-08-09T08:47:24,idiotes,ochimata,45390000,5003248.64
2026-08-09T06:37:34.799Z,2026-08-09T08:47:24,idiotes,podilata,2610000,0
2026-08-09T06:37:34.799Z,2026-08-09T08:47:24,epixiriseis,ochimata,27640000,3942572.21
2026-08-09T06:37:34.799Z,2026-08-09T08:47:24,epixiriseis,podilata,360000,75713.6
2026-08-09T18:24:29.370Z,2026-08-09T20:47:24,idiotes,ochimata,45390000,4991248.64
2026-08-09T18:24:29.370Z,2026-08-09T20:47:24,idiotes,podilata,2610000,0
2026-08-09T18:24:29.370Z,2026-08-09T20:47:24,epixiriseis,ochimata,27640000,3942572.21
2026-08-09T18:24:29.370Z,2026-08-09T20:47:24,epixiriseis,podilata,360000,75713.6
2026-08-10T07:09:35.165Z,2026-08-10T08:47:24,idiotes,ochimata,45390000,4981829.29
2026-08-10T07:09:35.165Z,2026-08-10T08:47:24,idiotes,podilata,2610000,0
2026-08-10T07:09:35.165Z,2026-08-10T08:47:24,epixiriseis,ochimata,27640000,3942572.21
2026-08-10T07:09:35.165Z,2026-08-10T08:47:24,epixiriseis,podilata,360000,75713.6
2026-08-10T18:41:56.014Z,2026-08-10T20:47:24,idiotes,ochimata,45390000,4954859.9
2026-08-10T18:41:56.014Z,2026-08-10T20:47:24,idiotes,podilata,2610000,0
2026-08-10T18:41:56.014Z,2026-08-10T20:47:24,epixiriseis,ochimata,27640000,3906172.21
2026-08-10T18:41:56.014Z,2026-08-10T20:47:24,epixiriseis,podilata,360000,75713.6
2026-08-11T06:46:56.484Z,2026-08-11T08:47:24,idiotes,ochimata,45390000,4954092.38
2026-08-11T06:46:56.484Z,2026-08-11T08:47:24,idiotes,podilata,2610000,0
2026-08-11T06:46:56.484Z,2026-08-11T08:47:24,epixiriseis,ochimata,27640000,3906172.21
2026-08-11T06:46:56.484Z,2026-08-11T08:47:24,epixiriseis,podilata,360000,75713.6
2026-08-11T18:46:17.181Z,2026-08-11T20:47:24,idiotes,ochimata,45390000,4940585.73
2026-08-11T18:46:17.181Z,2026-08-11T20:47:24,idiotes,podilata,2610000,0
2026-08-11T18:46:17.181Z,2026-08-11T20:47:24,epixiriseis,ochimata,27640000,3889506.53
2026-08-11T18:46:17.181Z,2026-08-11T20:47:24,epixiriseis,podilata,360000,75713.6
2026-08-12T07:07:28.151Z,2026-08-12T08:47:24,idiotes,ochimata,45390000,4935694.6
2026-08-12T07:07:28.151Z,2026-08-12T08:47:24,idiotes,podilata,2610000,0
2026-08-12T07:07:28.151Z,2026-08-12T08:47:24,epixiriseis,ochimata,27640000,3889506.53
2026-08-12T07:07:28.151Z,2026-08-12T08:47:24,epixiriseis,podilata,360000,75713.6
2026-08-12T18:46:54.504Z,2026-08-12T20:47:24,idiotes,ochimata,45390000,4896380.67
2026-08-12T18:46:54.504Z,2026-08-12T20:47:24,idiotes,podilata,2610000,0
2026-08-12T18:46:54.504Z,2026-08-12T20:47:24,epixiriseis,ochimata,27640000,3872174.71
2026-08-12T18:46:54.504Z,2026-08-12T20:47:24,epixiriseis,podilata,360000,75713.6
2026-08-13T07:11:27.530Z,2026-08-13T08:47:24,idiotes,ochimata,45390000,4881000.58
2026-08-13T07:11:27.530Z,2026-08-13T08:47:24,idiotes,podilata,2610000,0
2026-08-13T07:11:27.530Z,2026-08-13T08:47:24,epixiriseis,ochimata,27640000,3872174.71
2026-08-13T07:11:27.530Z,2026-08-13T08:47:24,epixiriseis,podilata,360000,75713.6
2026-08-13T18:48:08.700Z,2026-08-13T20:47:24,idiotes,ochimata,45390000,4871227.87
2026-08-13T18:48:08.700Z,2026-08-13T20:47:24,idiotes,podilata,2610000,0
2026-08-13T18:48:08.700Z,2026-08-13T20:47:24,epixiriseis,ochimata,27640000,3866174.71
2026-08-13T18:48:08.700Z,2026-08-13T20:47:24,epixiriseis,podilata,360000,75282.96
2026-08-14T07:08:23.645Z,2026-08-14T08:47:24,idiotes,ochimata,45390000,4864887.87
2026-08-14T07:08:23.645Z,2026-08-14T08:47:24,idiotes,podilata,2610000,0
2026-08-14T07:08:23.645Z,2026-08-14T08:47:24,epixiriseis,ochimata,27640000,3866174.71
2026-08-14T07:08:23.645Z,2026-08-14T08:47:24,epixiriseis,podilata,360000,75282.96
2026-08-14T18:40:24.266Z,2026-08-14T20:47:24,idiotes,ochimata,45390000,4834838.58
2026-08-14T18:40:24.266Z,2026-08-14T20:47:24,idiotes,podilata,2610000,0
2026-08-14T18:40:24.266Z,2026-08-14T20:47:24,epixiriseis,ochimata,27640000,3820774.71
2026-08-14T18:40:24.266Z,2026-08-14T20:47:24,epixiriseis,podilata,360000,75282.96
2026-08-15T06:20:00.743Z,2026-08-15T08:47:24,idiotes,ochimata,45390000,4834448.58
2026-08-15T06:20:00.743Z,2026-08-15T08:47:24,idiotes,podilata,2610000,0
2026-08-15T06:20:00.743Z,2026-08-15T08:47:24,epixiriseis,ochimata,27640000,3817774.71
2026-08-15T06:20:00.743Z,2026-08-15T08:47:24,epixiriseis,podilata,360000,75282.96
2026-08-15T18:14:05.686Z,2026-08-15T20:47:24,idiotes,ochimata,45390000,4831847.78
2026-08-15T18:14:05.686Z,2026-08-15T20:47:24,idiotes,podilata,2610000,0
2026-08-15T18:14:05.686Z,2026-08-15T20:47:24,epixiriseis,ochimata,27640000,3814522.29
2026-08-15T18:14:05.686Z,2026-08-15T20:47:24,epixiriseis,podilata,360000,75282.96
2026-08-16T06:21:59.666Z,2026-08-16T08:47:24,idiotes,ochimata,45390000,4828447.78
2026-08-16T06:21:59.666Z,2026-08-16T08:47:24,idiotes,podilata,2610000,0
2026-08-16T06:21:59.666Z,2026-08-16T08:47:24,epixiriseis,ochimata,27640000,3814522.29
2026-08-16T06:21:59.666Z,2026-08-16T08:47:24,epixiriseis,podilata,360000,75282.96
2026-08-16T18:13:58.625Z,2026-08-16T20:47:24,idiotes,ochimata,45390000,4824101.04
2026-08-16T18:13:58.625Z,2026-08-16T20:47:24,idiotes,podilata,2610000,0
2026-08-16T18:13:58.625Z,2026-08-16T20:47:24,epixiriseis,ochimata,27640000,3814522.29
2026-08-16T18:13:58.625Z,2026-08-16T20:47:24,epixiriseis,podilata,360000,75282.96
2026-08-17T06:32:38.668Z,2026-08-17T08:47:24,idiotes,ochimata,45390000,4816103.04
2026-08-17T06:32:38.668Z,2026-08-17T08:47:24,idiotes,podilata,2610000,0
2026-08-17T06:32:38.668Z,2026-08-17T08:47:24,epixiriseis,ochimata,27640000,3811522.29
2026-08-17T06:32:38.668Z,2026-08-17T08:47:24,epixiriseis,podilata,360000,75282.96
2026-08-17T18:22:16.613Z,2026-08-17T20:47:24,idiotes,ochimata,45390000,4804544.78
2026-08-17T18:22:16.613Z,2026-08-17T20:47:24,idiotes,podilata,2610000,0
2026-08-17T18:22:16.613Z,2026-08-17T20:47:24,epixiriseis,ochimata,27640000,3804522.29
2026-08-17T18:22:16.613Z,2026-08-17T20:47:24,epixiriseis,podilata,360000,75041.26
2026-08-18T06:24:43.344Z,2026-08-18T08:47:24,idiotes,ochimata,45390000,4799302.84
2026-08-18T06:24:43.344Z,2026-08-18T08:47:24,idiotes,podilata,2610000,0
